ime;ekipa;pozicija;tekme;točke;podaje;skoki
Shake Milton;LAL;SG;30;'3.9';'1.3';'1.8'
Aaron Holiday;HOU;PG;62;'5.5';'1.3';'1.3'
Jeff Green;HOU;PF;32;'5.4';'0.6';'1.8'
Jonathan Isaac;ORL;PF;71;'5.4';'0.6';'4.4'
Dean Wade;CLE;PF;59;'5.4';'1.3';'4.2'
Keaton Wallace;ATL;PG;31;'5.4';'2.6';'1.6'
Kobe Bufkin;ATL;SG;10;'5.3';'1.7';'2.1'
Jamal Cain;NOP;SF;37;'5.3';'0.6';'2.3'
Pat Connaughton;MIL;SG;41;'5.3';'1.7';'2.7'
Kevin Love;MIA;PF;23;'5.3';'1.0';'4.1'
Ben Sheppard;IND;SG;63;'5.3';'1.3';'2.8'
Monte Morris;PHO;PG;45;'5.2';'1.6';'1.5'
Jabari Walker;POR;SF;60;'5.2';'0.6';'3.5'
Javonte Green;NOP;SG;50;'5.8';'0.9';'3.6'
Javonte Green;CLE;SG;18;'3.3';'0.6';'2.2'
Alex Reese;OKC;PF;1;'2.0';'0.0';'1.0'
Alex Reese;PHI;PF;14;'5.3';'0.3';'3.3'
Bismack Biyombo;SAS;C;28;'5.1';'1.1';'5.6'
Mitchell Robinson;NYK;C;17;'5.1';'0.8';'5.9'
Kai Jones;LAC;C;28;'2.2';'0.4';'1.6'
Kai Jones;DAL;C;12;'11.4';'1.3';'6.6'
Ben Simmons;BRK;PG;33;'6.2';'6.9';'5.2'
Ben Simmons;LAC;PG;18;'2.9';'3.1';'3.8'
Malaki Branham;SAS;SG;47;'5.0';'0.8';'1.1'
Neemias Queta;BOS;C;62;'5.0';'0.7';'3.8'
Alondes Williams;DET;SG;1;'5.0';'1.0';'0.0'
Jaylen Martin;BRK;SF;3;'1.0';'0.0';'0.0'
Jaylen Martin;WAS;SF;13;'5.8';'1.3';'3.4'
Lindy Waters III;GSW;SG;38;'5.5';'1.1';'2.5'
Lindy Waters III;DET;SG;14;'3.4';'0.7';'1.0'
Trevelin Queen;ORL;SG;31;'4.9';'1.2';'1.7'
Jock Landale;HOU;C;42;'4.8';'0.9';'3.3'
Colin Castleton;3TM;C;26;'4.7';'1.1';'4.7'
Colin Castleton;MEM;C;10;'1.4';'0.0';'0.9'
Colin Castleton;TOR;C;11;'7.2';'1.6';'6.9'
Colin Castleton;PHI;C;5;'6.0';'2.0';'7.4'
Taylor Hendricks;UTA;PF;3;'4.7';'0.7';'5.0'
David Roddy;3TM;PF;33;'4.6';'1.1';'2.5'
David Roddy;ATL;PF;27;'4.5';'1.1';'2.6'
David Roddy;PHI;PF;3;'6.0';'1.0';'3.0'
David Roddy;HOU;PF;3;'4.3';'0.7';'1.7'
Drew Eubanks;UTA;C;37;'5.8';'1.2';'4.5'
Drew Eubanks;LAC;C;24;'2.7';'0.4';'2.4'
Pelle Larsson;MIA;SG;55;'4.6';'1.2';'1.7'
Julian Phillips;CHI;SF;79;'4.6';'0.5';'2.1'
Cody Williams;UTA;SG;50;'4.6';'1.2';'2.3'
Rob Dillingham;MIN;PG;49;'4.5';'2.0';'1.0'
Jett Howard;ORL;SF;60;'4.5';'0.7';'1.2'
Kevon Looney;GSW;C;76;'4.5';'1.6';'6.1'
Mason Plumlee;PHO;C;74;'4.5';'1.8';'6.1'
Dalen Terry;CHI;SG;73;'4.5';'1.3';'1.7'
Marvin Bagley III;WAS;C;19;'4.9';'0.4';'2.9'
Marvin Bagley III;MEM;PF;12;'3.6';'0.3';'2.3'
Charles Bassey;SAS;C;36;'4.4';'0.5';'4.2'
Tony Bradley;IND;C;14;'4.4';'0.4';'3.0'
Reggie Jackson;PHI;PG;31;'4.4';'1.5';'1.4'
Reed Sheppard;HOU;PG;52;'4.4';'1.4';'1.5'
Lamar Stevens;MEM;PF;17;'4.4';'0.5';'2.2'
Mo Bamba;LAC;C;28;'4.6';'0.6';'4.3'
Mo Bamba;NOP;C;4;'2.5';'0.5';'6.3'
Jevon Carter;CHI;PG;36;'4.3';'1.1';'1.1'
Micah Potter;UTA;C;38;'4.3';'0.8';'4.3'
Terrence Shannon Jr.;MIN;SG;32;'4.3';'1.0';'1.5'
Daniel Theis;NOP;C;38;'4.3';'1.6';'4.3'
Torrey Craig;CHI;SF;9;'6.9';'0.6';'2.8'
Torrey Craig;BOS;SF;17;'2.7';'0.7';'2.8'
Wendell Moore Jr.;DET;SG;20;'3.2';'1.2';'2.2'
Wendell Moore Jr.;CHO;SG;16;'5.4';'1.2';'3.2'
Dominick Barlow;ATL;SF;35;'4.2';'0.5';'2.4'
Kessler Edwards;DAL;SF;40;'4.2';'1.1';'2.9'
Oso Ighodaro;PHO;PF;61;'4.2';'1.2';'3.6'
Kris Murray;POR;SF;69;'4.2';'1.0';'2.6'
Duop Reath;POR;C;46;'4.2';'0.6';'2.0'
Cam Spencer;MEM;SG;25;'4.2';'1.4';'1.2'
Maxwell Lewis;LAL;SF;7;'0.6';'0.3';'0.3'
Maxwell Lewis;BRK;SF;21;'5.3';'0.8';'2.5'
Jaylen Clark;MIN;SG;40;'4.1';'0.7';'1.3'
Caleb Houstan;ORL;SF;58;'4.1';'0.6';'1.3'
Jordan Miller;LAC;SF;37;'4.1';'0.9';'1.6'
Jalen Pickett;DEN;SG;49;'4.1';'2.2';'1.4'
Paul Reed;DET;C;45;'4.1';'1.0';'2.7'
Gui Santos;GSW;PF;56;'4.1';'1.4';'3.1'
Jarred Vanderbilt;LAL;PF;36;'4.1';'1.1';'5.1'
Colby Jones;SAC;SG;24;'1.1';'0.3';'1.0'
Colby Jones;WAS;SG;15;'8.7';'2.5';'4.3'
Nicolas Batum;LAC;PF;78;'4.0';'1.1';'2.8'
Malachi Flynn;CHO;PG;4;'4.0';'1.8';'1.8'
Ron Harper Jr.;DET;SF;1;'4.0';'2.0';'7.0'
Josh Richardson;MIA;SG;8;'4.0';'1.5';'1.5'
Steven Adams;HOU;C;58;'3.9';'1.1';'5.6'
Kyle Lowry;PHI;PG;35;'3.9';'2.7';'1.9'
Olivier-Maxence Prosper;DAL;PF;52;'3.9';'0.8';'2.4'
Patty Mills;UTA;PG;17;'4.4';'1.2';'1.2'
Patty Mills;LAC;PG;12;'3.1';'0.4';'0.1'
Branden Carlson;OKC;C;32;'3.8';'0.4';'1.7'
Devin Carter;SAC;PG;36;'3.8';'1.1';'2.1'
Ousmane Dieng;OKC;C;37;'3.8';'0.8';'2.2'
Markieff Morris;DAL;PF;7;'1.7';'0.6';'1.1'
Markieff Morris;LAL;PF;8;'5.5';'2.1';'1.9'
Emoni Bates;CLE;SF;10;'3.7';'0.8';'0.7'
DeAndre Jordan;DEN;C;56;'3.7';'0.9';'5.1'
Craig Porter Jr.;CLE;PG;51;'3.7';'1.4';'1.3'
Jackson Rowe;GSW;PF;6;'3.7';'0.7';'1.8'
Blake Wesley;SAS;SG;58;'3.7';'2.0';'1.1'
JT Thor;CLE;PF;9;'3.1';'0.1';'0.7'
JT Thor;WAS;PF;11;'3.9';'0.5';'3.8'
Baylor Scheierman;BOS;SG;31;'3.6';'1.1';'2.1'
Jae'Sean Tate;HOU;SF;52;'3.6';'0.9';'2.3'
Jaylon Tyson;CLE;SG;47;'3.6';'0.9';'2.0'
Elfrid Payton;NOP;PG;18;'4.4';'8.1';'3.7'
Elfrid Payton;CHO;PG;6;'1.0';'3.3';'2.2'
Luka Garza;MIN;C;39;'3.5';'0.3';'1.4'
Cory Joseph;ORL;PG;50;'3.5';'1.4';'1.5'
Doug McDermott;SAC;SF;42;'3.5';'0.2';'0.5'
Dario Šarić;DEN;C;16;'3.5';'1.4';'3.1'
Jamaree Bouyea;MIL;PG;5;'3.4';'2.0';'1.0'
Bruno Fernando;TOR;C;17;'3.4';'1.1';'3.0'
Andre Jackson Jr.;MIL;SG;67;'3.4';'1.2';'2.7'
Isaac Jones;SAC;PF;40;'3.4';'0.3';'1.4'
Kevin Knox;GSW;SF;14;'3.3';'0.4';'1.2'
Damion Lee;PHO;SG;25;'3.3';'0.4';'0.8'
Jeenathan Williams;HOU;SG;20;'3.3';'0.5';'0.7'
Elijah Harkless;UTA;SG;10;'3.2';'0.8';'2.1'
Zeke Nnaji;DEN;PF;57;'3.2';'0.4';'1.6'
Cam Reddish;LAL;SF;33;'3.2';'0.7';'2.0'
Delon Wright;MIL;PG;26;'2.5';'1.8';'1.8'
Delon Wright;NYK;PG;14;'4.3';'2.1';'1.4'
Kylor Kelley;DAL;C;8;'3.0';'0.3';'2.6'
Kylor Kelley;NOP;C;3;'3.3';'1.0';'6.0'
Gary Harris;ORL;SG;48;'3.0';'0.6';'1.3'
Maxi Kleber;DAL;PF;34;'3.0';'1.3';'2.8'
Taze Moore;POR;SG;2;'3.0';'0.5';'4.0'
Rayan Rupert;POR;SG;52;'3.0';'0.5';'1.3'
P.J. Tucker;NYK;SF;3;'3.0';'0.0';'2.7'
Pete Nance;PHI;C;7;'2.1';'0.4';'1.4'
Pete Nance;MIL;PF;6;'3.8';'1.2';'1.8'
Markelle Fultz;SAC;PG;21;'2.9';'1.3';'1.0'
Taj Gibson;CHO;C;37;'2.9';'0.6';'3.2'
Tyler Smith;MIL;PF;23;'2.9';'0.2';'1.1'
RayJ Dennis;IND;PG;11;'2.7';'1.3';'1.1'
David Duke Jr.;SAS;SG;6;'2.7';'0.7';'0.8'
Keshad Johnson;MIA;SF;16;'2.7';'0.3';'1.8'
Reece Beekman;GSW;PG;2;'1.0';'0.5';'0.5'
Reece Beekman;BRK;PG;34;'2.7';'1.8';'1.1'
Jae Crowder;SAC;PF;9;'2.6';'0.7';'2.2'
Josh Minott;MIN;SF;46;'2.6';'0.4';'1.0'
Hunter Tyson;DEN;PF;51;'2.6';'0.4';'1.5'
Jaden Springer;BOS;SG;26;'1.7';'0.4';'0.9'
Jaden Springer;UTA;PG;17;'3.8';'1.4';'2.0'
Trey Jemison;NOP;C;16;'2.4';'0.6';'2.8'
Trey Jemison;LAL;C;22;'2.6';'0.3';'2.8'
Anthony Gill;WAS;PF;51;'2.5';'0.3';'1.3'
Dillon Jones;OKC;SF;54;'2.5';'1.1';'2.2'
Pat Spencer;GSW;PG;39;'2.5';'1.2';'1.2'
Johnny Davis;WAS;SG;34;'2.4';'0.3';'1.1'
Christian Koloko;LAL;C;37;'2.4';'0.4';'2.5'
John Konchar;MEM;SG;46;'2.4';'0.9';'3.3'
MarJon Beauchamp;3TM;SF;35;'2.3';'0.3';'1.3'
MarJon Beauchamp;MIL;SF;26;'2.0';'0.3';'1.2'
MarJon Beauchamp;LAC;SF;3;'4.0';'0.7';'1.0'
MarJon Beauchamp;NYK;SF;6;'2.5';'0.2';'1.5'
Bronny James;LAL;SG;27;'2.3';'0.8';'0.7'
Mason Jones;SAC;SG;10;'2.3';'1.1';'0.9'
Miles Norris;BOS;PF;3;'2.3';'0.0';'3.0'
Patrick Baldwin Jr.;WAS;SF;22;'2.1';'0.1';'1.0'
Patrick Baldwin Jr.;LAC;SF;2;'3.0';'0.5';'1.5'
Drew Peterson;BOS;PF;25;'2.2';'0.5';'1.6'
TyTy Washington Jr.;PHO;PG;16;'2.2';'1.0';'0.8'
Jordan McLaughlin;SAC;PG;28;'1.9';'0.9';'0.8'
Jordan McLaughlin;SAS;PG;18;'2.5';'1.5';'0.5'
JD Davison;BOS;PG;16;'2.1';'0.8';'0.8'
Chris Duarte;CHI;SG;17;'2.1';'0.5';'1.2'
Enrique Freeman;IND;PF;22;'2.1';'0.4';'1.4'
Johnny Furphy;IND;SG;50;'2.1';'0.4';'1.4'
Dwight Powell;DAL;C;55;'2.1';'1.0';'2.1'
Josh Christopher;MIA;SG;14;'2.0';'0.6';'0.6'
Tyler Kolek;NYK;PG;41;'2.0';'1.7';'0.7'
Adama Sanogo;CHI;C;4;'2.0';'0.3';'1.5'
Kobe Brown;LAC;PF;40;'1.9';'0.6';'1.6'
Ariel Hukporti;NYK;C;25;'1.9';'0.4';'2.0'
Bobi Klintman;DET;SF;8;'1.9';'0.9';'0.9'
Garrett Temple;TOR;SG;28;'1.9';'1.1';'1.0'
Jericho Sims;NYK;C;39;'1.6';'0.6';'3.3'
Jericho Sims;MIL;C;14;'2.4';'0.8';'4.9'
Vlatko Čančar;DEN;PF;13;'1.8';'0.7';'2.5'
Adam Flagler;OKC;SG;37;'1.8';'0.3';'0.7'
Trentyn Flowers;LAC;SF;6;'1.8';'0.0';'0.7'
E.J. Liddell;CHI;PF;12;'1.8';'0.3';'0.8'
Jahmir Young;CHI;PG;6;'1.8';'1.0';'0.5'
Pacome Dadiet;NYK;SG;18;'1.7';'0.3';'1.0'
Alex Ducas;OKC;SG;21;'1.7';'0.2';'1.2'
PJ Hall;DEN;C;19;'1.7';'0.2';'1.2'
Emanuel Miller;CHI;PF;6;'1.7';'0.3';'1.3'
Tristan Thompson;CLE;C;40;'1.7';'0.6';'3.4'
Alex Len;SAC;C;36;'1.4';'0.8';'1.8'
Alex Len;LAL;C;10;'2.2';'0.8';'3.1'
Yuki Kawamura;MEM;PG;22;'1.6';'0.9';'0.5'
Jack McVeigh;HOU;PF;9;'1.6';'0.1';'0.6'
Armel Traoré;LAL;SF;9;'1.6';'0.1';'1.7'
Jordan Walsh;BOS;PF;52;'1.6';'0.4';'1.3'
Phillip Wheeler;PHI;PF;5;'1.6';'0.4';'1.6'
Sidy Cissoko;SAS;SF;17;'1.3';'0.4';'0.6'
Sidy Cissoko;POR;SF;5;'2.0';'1.8';'2.2'
Jazian Gortman;DAL;PG;16;'1.5';'0.4';'0.3'
Kevin McCullar Jr.;NYK;SF;4;'1.5';'0.5';'2.0'
Leonard Miller;MIN;SF;13;'1.5';'0.0';'0.8'
Quincy Olivari;LAL;PG;2;'1.5';'0.5';'0.0'
Matt Ryan;NYK;SF;19;'1.5';'0.2';'0.4'
Jacob Toppin;NYK;SF;16;'0.4';'0.3';'0.7'
Jacob Toppin;ATL;SF;1;'17.0';'2.0';'4.0'
Cam Christie;LAC;SG;13;'1.4';'0.5';'0.9'
Chris Livingston;MIL;SF;21;'1.4';'0.2';'1.7'
Trey Alexander;DEN;SG;24;'1.3';'0.5';'0.5'
Spencer Jones;DEN;SF;20;'1.3';'0.3';'0.9'
Skal Labissière;SAC;PF;4;'1.3';'0.3';'0.8'
Jalen Bridges;PHO;SF;8;'1.1';'0.0';'0.5'
Yuri Collins;GSW;PG;2;'1.0';'2.0';'1.5'
Daniss Jenkins;DET;PG;7;'1.0';'0.4';'0.3'
Braxton Key;GSW;SF;3;'1.0';'0.0';'0.7'
Bryce McGowens;POR;SG;13;'1.0';'0.2';'0.2'
Xavier Tillman Sr.;BOS;C;33;'1.0';'0.2';'1.3'
Luke Travers;CLE;SG;12;'1.0';'0.7';'1.7'
Isaiah Crawford;SAC;SF;15;'0.9';'0.1';'0.5'
Justin Minaya;POR;SF;19;'0.9';'0.4';'0.5'
Anton Watson;NYK;SF;9;'0.9';'0.2';'0.3'
D.J. Carton;TOR;SG;4;'0.8';'0.8';'1.0'
PJ Dozier;MIN;SG;9;'0.8';'0.6';'0.6'
Joe Ingles;MIN;SF;19;'0.8';'1.2';'0.6'
Harrison Ingram;SAS;SF;5;'0.8';'0.6';'1.8'
Ulrich Chomche;TOR;PF;7;'0.7';'0.3';'1.1'
James Johnson;IND;PF;12;'0.7';'0.3';'0.5'
Liam Robbins;MIL;C;13;'0.7';'0.2';'0.9'
Stanley Umude;MIL;SG;22;'0.7';'0.2';'0.8'
Cui Yongxi;BRK;SG;5;'0.6';'0.0';'0.4'
Tristen Newton;IND;SG;5;'0.6';'0.2';'0.0'
Tristen Newton;MIN;SG;3;'0.0';'0.3';'1.3'
Malevy Leons;OKC;SF;6;'0.3';'0.2';'0.5'
Daishen Nix;MIN;PG;3;'0.3';'1.0';'1.3'
Terence Davis;SAC;SG;1;'0.0';'1.0';'1.0'
Jesse Edwards;MIN;C;2;'0.0';'0.5';'0.0'
Mac McClung;ORL;SG;2;'0.0';'1.5';'0.5'
Jalen McDaniels;WAS;SF;4;'0.0';'0.3';'0.0'
Riley Minix;SAS;SF;1;'0.0';'0.0';'2.0'
Jahlil Okafor;IND;C;1;'0.0';'1.0';'1.0'
Zyon Pullin;MEM;SG;3;'0.0';'0.0';'0.0'
Isaiah Stevens;MIA;PG;3;'0.0';'0.0';'0.7'
Terry Taylor;SAC;PF;3;'0.0';'0.7';'0.3'
NEZNANO;;;;'';'';''
